Region,Founded_year,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year_(in_pounds),Latitude,Longitude
East of England,1209.0,1,4,94.1,6.5,21750,23187,0.20199999999999999,0.855,"20,000-24,999","over-5,000",Public,Trimesters,Urban,12000,52.2054,0.1132
South East England,1096.0,2,2,93.3,6.5,21770,19888,0.168,0.865,"25,000-29,999","over-5,000",Public,Trimesters,Urban,11500,51.7548,-1.2544
Scotland,1096.0,3,86,75.8,6.5,17040,15440,0.40399999999999997,0.879,"10,000-14,999","1,000-1,499",Public,Semesters,Suburban,12000,56.3417,-2.7943
London,1907.0,4,8,86.6,6.5,23500,29900,0.414,0.779,"15,000-19,999","4,000-4,499",Public,Continuous,Urban,10700,51.4988,-0.1749
East Midlands,1966.0,5,404,72.8,5.5,16400,16400,0.22,0.858,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,9398,52.765,-1.2321
London,1895.0,6,23,76.3,6.5,17040,24500,0.46799999999999997,0.685,"10,000-14,999","1,500-1,999",Public,Semesters,Urban,12000,51.5144,-0.1165
North East England,1832.0,7,70,76.3,5.5,14900,18000,0.172,0.75,"15,000-19,999","1,500-1,999",Public,Trimesters,Urban,8000,54.765,-1.5782
North West England,1096.0,8,130,76.1,5.5,14940,14200,0.29600000000000004,0.7929999999999999,"10,000-14,999","2,000-2,499",Public,Trimesters,Rural,8500,54.0104,-2.7877
London,1826.0,9,14,88.0,6.5,15660,17250,0.361,0.754,"40,000-44,999","over-5,000",Public,Other,Urban,11500,51.5246,-0.134
West Midlands,1096.0,10,80,79.3,5.5,15820,24500,0.28300000000000003,0.792,"25,000-29,999","2,500-2,999",Public,Trimesters,Suburban,9580,52.3793,-1.5615
South West England,1096.0,11,261,74.8,5.5,14300,15000,0.217,0.818,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,11000,51.3782,-2.3264
South West England,1955.0,12,93,77.4,5.5,15500,15500,0.212,0.8009999999999999,"25,000-29,999","2,500-2,999",Public,Semesters,Suburban,8400,50.7371,-3.5351
Yorkshire and the Humber,1096.0,13,133,81.6,5.5,13500,14000,0.11800000000000001,0.804,"35,000-39,999","3,500-3,999",Public,Semesters,Urban,7000,53.8067,-1.555
West Midlands,1096.0,14,119,82.6,5.5,13860,14850,0.127,0.779,"35,000-39,999","4,000-4,499",Public,Continuous,Urban,9000,52.4508,-1.9305
South West England,1909.0,15,69,82.0,5.5,15200,14800,0.149,0.772,"25,000-29,999","3,000-3,499",Public,Semesters,Urban,7000,51.4584,-2.603
Scotland,1451.0,16,76,80.7,5.5,14500,14500,0.20800000000000002,0.782,"30,000-34,999","4,000-4,499",Public,Semesters,Urban,8000,55.8724,-4.29
Wales,1096.0,17,2840,64.57441394255038,4.5,8500,10000,0.051,0.8240000000000001,"5,000-5,999",100-199,Public,Other,Rural,6000,52.779,-2.4277
North West England,1824.0,18,56,83.9,5.5,14500,14500,0.25,0.772,"40,000-44,999","over-5,000",Public,Semesters,Urban,9800,53.4668,-2.2339
South East England,1849.0,19,129,73.8,5.5,13200,13900,0.27399999999999997,0.8059999999999999,"10,000-14,999","1,000-1,499",Public,Semesters,Suburban,7500,51.4257,-0.5631
South East England,1096.0,20,110,80.9,5.5,14660,15160,0.183,0.7859999999999999,"20,000-24,999","2,500-2,999",Public,Semesters,Suburban,7200,50.9344,-1.3965
East Midlands,1948.0,21,143,80.4,5.5,14140,14420,0.182,0.78,"30,000-34,999","3,000-3,499",Public,Semesters,Suburban,9840,52.9388,-1.1981
Yorkshire and the Humber,1963.0,22,128,76.4,5.5,17890,18240,0.23,0.81,"15,000-19,999","1,500-1,999",Public,Trimesters,Suburban,11789,53.9461,-1.0518
East of England,1963.0,23,149,77.1,5.5,14200,14200,0.20199999999999999,0.79,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,9840,52.6221,1.2411
Scotland,1967.0,24,185,76.0,5.5,12950,14875,0.139,0.838,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,6500,56.4582,-2.9821
Scotland,1583.0,25,24,85.0,5.5,15850,16500,0.28,0.726,"30,000-34,999","over-5,000",Public,Semesters,Urban,8500,55.9445,-3.1892
Yorkshire and the Humber,1905.0,26,97,79.9,5.5,14500,14500,0.215,0.821,"30,000-34,999","3,000-3,499",Public,Semesters,Urban,7200,53.3814,-1.4884
Scotland,1495.0,27,172,76.8,5.5,13000,13000,0.268,0.8109999999999999,"10,000-14,999","1,000-1,499",Public,Semesters,Urban,8000,57.1648,-2.1015
North East England,1096.0,28,196,79.7,5.5,12680,12680,0.196,0.787,"25,000-29,999","3,000-3,499",Public,Semesters,Urban,8000,54.9792,-1.6147
North West England,1881.0,29,157,80.5,5.5,13850,16200,0.27,0.8,"25,000-29,999","3,000-3,499",Public,Semesters,Urban,7000,53.4048,-2.9653
London,1096.0,30,27,85.5,5.5,15600,17040,0.262,0.725,"30,000-34,999","over-5,000",Public,Semesters,Urban,10229,51.5115,-0.116
Wales,1096.0,31,422,73.4,4.5,13800,15050,0.154,0.815,"20,000-24,999","1,000-1,499",Public,Trimesters,Suburban,7500,51.6092,-3.98
South East England,1966.0,32,342,74.2,5.5,13300,13300,0.244,0.783224,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,10700,51.2431,-0.5895
Scotland,1966.0,33,314,72.2,5.5,13020,13420,0.203,0.779,"10,000-14,999",800-899,Public,Semesters,Suburban,8000,55.9112,-3.3217
Wales,1997.0,34,182,79.8,5.5,14000,14000,0.14300000000000002,0.775,"30,000-34,999","3,000-3,499",Public,Semesters,Urban,10084,51.4866,-3.1789
Northern Ireland,1849.0,35,200,75.7,5.5,13280,13430,0.087,0.774,"20,000-24,999","1,500-1,999",Public,Semesters,Urban,6000,54.5844,-5.934
Scotland,1964.0,36,384,74.3,5.5,14250,13850,0.132,0.789,"20,000-24,999","1,500-1,999",Public,Semesters,Urban,9000,55.8621,-4.2424
East of England,1096.0,37,403,71.7,5.5,12500,14450,0.302,0.8029999999999999,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,8320,51.8777,0.9472
South East England,1096.0,38,140,77.7,5.5,14450,14450,0.272,0.764,"15,000-19,999","2,000-2,499",Public,Semesters,Urban,12500,50.8677,-0.0875
South East England,1892.0,38,164,77.7,5.5,14350,14165,0.18899999999999997,0.752,"15,000-19,999","1,500-1,999",Public,Other,Urban,8500,51.4414,-0.9418
East Midlands,1992.0,40,607,69.6,4.5,12163,12117,0.066,0.8170000000000001,"30,000-34,999","2,000-2,499",Public,Quarters,Urban,9398,52.9581,-1.1542
East Midlands,1957.0,41,167,77.7,4.5,14000,13500,0.222,0.78,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,7650,52.6211,-1.1246
South East England,2005.0,42,2030,70.95883298412805,4.5,11870,12150,0.11699999999999999,0.78,"6,000-6,999",300-399,Public,Semesters,Urban,8990,51.2151,-0.8054
South West England,1885.0,43,3420,72.1523593924942,4.5,12500,12500,0.136,0.8290000000000001,"3,000-3,999",300-399,Public,Semesters,Urban,6000,50.7417,-1.8977
London,1916.0,44,672,68.5,5.5,16880,16880,0.386,0.7120000000000001,"5,000-5,999",700-799,Public,Semesters,Urban,10229,51.5224,-0.1293
Wales,1096.0,45,466,71.0,4.5,10500,11250,0.131,0.861,"7,000-7,999",700-799,Public,Semesters,Suburban,7771,52.4183,-4.0639
West Midlands,1962.0,46,729,70.6,5.5,12500,13500,0.157,0.825,"10,000-14,999",800-899,Public,Semesters,Rural,8000,53.003,-2.2721
Scotland,1967.0,47,659,70.8,5.5,11275,11900,0.11800000000000001,0.7559999999999999,"10,000-14,999","1,000-1,499",Public,Semesters,Suburban,7000,56.1461,-3.9178
West Midlands,1096.0,48,699,70.5,5.5,13500,13500,0.165,0.773,"10,000-14,999",800-899,Public,Trimesters,Urban,6000,52.4867,-1.8882
London,1989.0,49,98,79.9,5.5,13650,13950,0.233,0.743,"20,000-24,999","3,000-3,499",Public,Semesters,Urban,9500,51.5241,-0.0404
West Midlands,1992.0,50,611,69.0,4.5,10766,10689,0.271,0.783224,"30,000-34,999","2,500-2,999",Public,Other,Urban,8097,52.4074,-1.5026
East of England,1992.0,51,877,68.4,4.5,12800,15700,0.094,0.7929999999999999,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,9415,53.2279,-0.5502
London,1990.0,52,2319,68.64755962189518,4.5,10650,10995,0.172,0.847,"10,000-14,999","1,000-1,499",Public,Semesters,Urban,10000,51.5069,-0.3032
West Midlands,1992.0,53,1184,68.36338666752229,4.5,10500,12500,0.03,0.7979999999999999,"10,000-14,999",700-799,Public,Semesters,Suburban,8097,53.0091,-2.1761
South East England,1965.0,54,416,72.5,5.5,12890,12890,0.204,0.7659999999999999,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,8990,51.2967,1.063
North East England,1096.0,55,1560,69.59480280313817,4.5,11150,12000,0.013999999999999999,0.7909999999999999,"10,000-14,999","1,000-1,499",Public,Semesters,Rural,8000,53.5588,-2.8703
Yorkshire and the Humber,1846.0,56,153,68.36338666752229,5.5,10500,10500,0.1559,0.79,"2,000-2,999",400-499,Private,Semesters,Urban,8270,53.8088,-1.5516
South East England,1992.0,56,531,71.0,4.5,11500,11500,0.166,0.7929999999999999,"25,000-29,999","1,500-1,999",Public,Semesters,Urban,6500,50.7939,-1.0974
South West England,1992.0,58,469,68.8,4.5,11250,11250,0.11599999999999999,0.831,"25,000-29,999","1,500-1,999",Public,Semesters,Suburban,8217,51.5006,-2.5474
Northern Ireland,1968.0,58,634,70.4,4.5,12495,12495,0.08199999999999999,0.8029999999999999,"20,000-24,999","1,000-1,499",Public,Semesters,Urban,6000,55.1498,-6.6752
North West England,1096.0,60,2103,68.93173257626808,4.5,10800,10800,0.019,0.7929999999999999,"5,000-5,999",300-399,Public,Trimesters,Suburban,7471,53.3908,-2.8923
Yorkshire and the Humber,1992.0,61,1111,68.1,4.5,12000,12500,0.142,0.7829999999999999,"15,000-19,999",900-999,Public,Continuous,Urban,8270,53.6428,-1.7781
North West England,1992.0,62,760,69.9,4.5,11150,11500,0.057999999999999996,0.783224,"30,000-34,999","2,500-2,999",Public,Semesters,Urban,8000,53.4703,-2.2393
East of England,1845.0,62,4300,72.1523593924942,4.5,12500,13000,0.049,0.777,"2,000-2,999",200-299,Public,Semesters,Urban,9415,52.6302,1.2967
South East England,1865.0,64,674,68.2,4.5,12400,12580,0.153,0.77,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,8990,51.755,-1.2242
North East England,1992.0,65,803,71.1,4.5,11500,11500,0.105,0.7829999999999999,"25,000-29,999","1,000-1,499",Public,Semesters,Urban,8000,54.9769,-1.6072
Yorkshire and the Humber,1992.0,65,576,67.4,4.5,11500,12700,0.059000000000000004,0.8109999999999999,"30,000-34,999","2,000-2,499",Public,Semesters,Urban,8400,53.3785,-1.4663
London,1733.0,67,196,72.9,5.5,18630,16500,0.094,0.7190000000000001,"4,000-4,999",500-599,Public,Semesters,Urban,10229,51.427,-0.1739
London,1904.0,68,654,66.7,5.5,12710,12710,0.198,0.72,"10,000-14,999","1,000-1,499",Public,Semesters,Urban,8000,51.4743,-0.0354
London,2004.0,69,1273,65.9,4.5,12000,12500,0.095,0.772,"10,000-14,999",500-599,Public,Semesters,Urban,9500,51.4581,-0.2445
Wales,1884.0,70,542,71.9,5.5,12500,12500,0.14400000000000002,0.818,"10,000-14,999","1,000-1,499",Public,Semesters,Urban,7771,53.2295,-4.13
South East England,2005.0,71,2585,67.8897650769008,4.5,10250,10250,0.024,0.799,"5,000-5,999",500-599,Public,Semesters,Suburban,8990,50.845,-0.7729
South West England,2012.0,72,2943,71.20511621125122,4.5,12000,12500,0.067,0.765,"6,000-6,999",300-399,Public,Semesters,Urban,8217,50.1713,-5.1238
London,1966.0,73,301,71.1,4.5,13000,14000,0.353,0.7709999999999999,"20,000-24,999","2,000-2,499",Public,Semesters,Urban,12000,51.528,-0.1025
East Midlands,1096.0,74,456,67.6,4.5,11750,12200,0.10800000000000001,0.8,"25,000-29,999","1,500-1,999",Public,Continuous,Urban,10000,52.6298,-1.1399
North West England,1992.0,75,804,68.2,4.5,11450,11950,0.085,0.787,"20,000-24,999","1,500-1,999",Public,Semesters,Urban,7500,53.7645,-2.7083
South West England,1856.0,76,4608,72.7,4.5,12250,13250,0.079,0.799,"1,000-1,999",100-199,Private,Semesters,Urban,7500,50.3759,-4.1396
Yorkshire and the Humber,1954.0,77,734,74.0,4.5,12300,12300,0.096,0.7709999999999999,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,8000,53.7731,-0.367
North West England,1992.0,78,691,71.3,4.5,11000,11000,0.047,0.7909999999999999,"20,000-24,999","1,500-1,999",Public,Semesters,Urban,7471,53.4037,-2.9731
North West England,2005.0,79,1579,68.93173257626808,4.5,10800,11000,0.054000000000000006,0.7909999999999999,"10,000-14,999",600-699,Public,Other,Urban,7471,53.2003,-2.8998
London,1986.0,79,459,78.68833734307077,5.5,15950,17250,0.42700000000000005,0.701,"15,000-19,999","2,000-2,499",Public,Semesters,Urban,12000,51.5178,-0.1164
Yorkshire and the Humber,1841.0,81,2643,67.41614348627931,5.5,10000,10000,0.087,0.783224,"6,000-6,999",300-399,Public,Semesters,Urban,8000,53.9663,-1.0829
Scotland,2007.0,82,2494,68.74228394001949,4.5,10700,11000,0.183,0.765,"5,000-5,999",200-299,Public,Semesters,Suburban,7500,55.9308,-3.0736
Scotland,1992.0,83,1163,67.41614348627931,4.5,10000,11500,0.149,0.804,"10,000-14,999",600-699,Public,Semesters,Suburban,7000,57.1189,-2.1379
London,1890.0,84,747,68.7,4.0,10850,11700,0.149,0.784,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,10229,51.483,-0.0064
London,1096.0,85,2386,69.31062984876527,4.5,11000,13000,0.042,0.79,"5,000-5,999",300-399,Private,Semesters,Suburban,8000,51.4363,-0.3345
London,1892.0,86,1040,68.36338666752229,4.5,10500,10500,0.091,0.779,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,9000,51.4981,-0.1024
North East England,1992.0,87,1341,68.83700825814378,4.5,10750,10950,0.063,0.795,"15,000-19,999",700-799,Public,Semesters,Urban,8000,54.5707,-1.2353
East of England,1992.0,88,604,69.5,4.0,11000,12000,0.14,0.7829999999999999,"20,000-24,999","1,500-1,999",Public,Semesters,Suburban,9415,51.7615,-0.2483
South West England,2013.0,89,4336,67.41614348627931,5.5,10000,11000,0.07200000000000001,0.823,"1,000-1,999",50-99,Public,Other,Rural,9400,51.7105,-1.995
South East England,2004.0,89,1682,68.13604830402397,4.5,10380,10930,0.133,0.79,"9,000-9,999",600-699,Public,Semesters,Urban,7500,50.9083,-1.4004
East Midlands,1992.0,91,1140,69.12118121251667,4.5,10900,11440,0.08,0.7859999999999999,"15,000-19,999","1,000-1,499",Public,Other,Urban,10500,52.9379,-1.4972
South East England,1973.0,92,2004,80.98066584167877,4.5,17160,14140,0.505,0.805,"3,000-3,999",100-199,Private,Semesters,Rural,8000,51.9954,-0.9917
West Midlands,2005.0,92,2346,69.53796821226359,4.5,11120,11400,0.055999999999999994,0.828,"10,000-14,999",900-999,Public,Semesters,Suburban,8097,52.198,-2.242
South West England,1992.0,94,782,68.9,4.5,13000,12750,0.087,0.754,"15,000-19,999",900-999,Public,Semesters,Urban,8217,50.7435,-1.8983
South West England,2001.0,95,2073,70.25787303000826,4.5,11500,11500,0.037000000000000005,0.78,"8,000-8,999",600-699,Public,Semesters,Suburban,8217,51.8879,-2.0888
West Midlands,1992.0,96,573,74.04684575498017,4.5,13500,14500,0.09,0.783224,"25,000-29,999","1,500-1,999",Public,Semesters,Urban,6000,52.4833,-1.8848
Scotland,1993.0,96,1284,67.2,4.5,10467,11133,0.081,0.765,"15,000-19,999",700-799,Public,Trimesters,Urban,8000,55.8668,-4.25
South East England,1096.0,98,2190,69.87897575751106,4.5,11300,11650,0.061,0.785,"7,000-7,999",700-799,Public,Semesters,Suburban,10000,51.06,-1.3277
Scotland,1096.0,98,1066,68.74228394001949,5.5,10700,11400,0.09,0.813,"4,000-4,999",200-299,Public,Semesters,Urban,6500,56.4633,-2.9739
London,1966.0,100,578,73.5,4.5,13500,13500,0.20600000000000002,0.7340000000000001,"10,000-14,999","1,000-1,499",Public,Trimesters,Suburban,7000,51.5321,-0.4727
Scotland,1992.0,101,676,66.2,4.5,11250,12000,0.166,0.759,"10,000-14,999",800-899,Public,Trimesters,Urban,8000,55.9332,-3.2142
Wales,2010.0,102,1855,67.41614348627931,4.5,10000,11000,0.1559,0.7859999999999999,"10,000-14,999",700-799,Public,Semesters,Rural,7771,52.1144,-4.0754
East of England,1862.0,102,4547,67.41614348627931,5.5,10000,6000,0.1559,0.758,"2,000-2,999",100-199,Public,Semesters,Urban,7500,53.2439,-0.5366
South West England,1923.0,102,3916,65.99527871441484,6.0,9250,9250,0.1559,0.8270000000000001,"2,000-2,999",50-99,Private,Semesters,Urban,8217,50.4201,-4.11
Yorkshire and the Humber,1096.0,105,1392,68.6,4.5,12100,12650,0.149,0.783224,"9,000-9,999",500-599,Public,Semesters,Urban,8270,53.7915,-1.7661
London,1992.0,106,817,67.4,4.5,11300,12500,0.145,0.7829999999999999,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,10229,51.4032,-0.3035
London,1973.0,107,537,67.5,4.0,11200,13000,0.207,0.74,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,9000,51.5897,-0.2293
Scotland,1897.0,108,1905,66.9,4.5,11000,11000,0.052000000000000005,0.78,"15,000-19,999",600-699,Public,Trimesters,Urban,8000,55.7782,-4.1041
North East England,1992.0,109,1050,64.29024098817749,4.0,8350,9600,0.251,0.772,"10,000-14,999",900-999,Public,Continuous,Urban,8000,54.9046,-1.3915
South West England,1975.0,110,1334,69.87897575751106,4.5,11300,11300,0.07400000000000001,0.722,"7,000-7,999",600-699,Public,Semesters,Rural,8217,51.3749,-2.4394
North West England,1967.0,111,680,67.7,4.5,11795,12000,0.111,0.768,"20,000-24,999","1,000-1,499",Public,Semesters,Urban,7471,53.4872,-2.2737
Wales,2011.0,112,1821,68.93173257626808,4.5,10800,12500,0.18,0.8,"10,000-14,999",700-799,Public,Semesters,Urban,7500,51.496,-3.2121
South East England,1096.0,113,2727,66.46890030503633,4.5,9500,10600,0.076,0.797,"10,000-14,999",400-499,Public,Semesters,Suburban,8990,51.6279,-0.7533
Wales,1841.0,114,1129,66.4,4.5,10100,10300,0.11800000000000001,0.795,"20,000-24,999","1,000-1,499",Public,Trimesters,Urban,7771,51.479,-3.1694
West Midlands,1096.0,115,5253,68.36338666752229,4.5,10500,10500,0.1559,0.812,"2,000-2,999",100-199,Public,Semesters,Suburban,10000,52.433,-1.9936
East Midlands,1096.0,116,1198,68.74228394001949,4.0,10700,10700,0.096,0.7390000000000001,"10,000-14,999",800-899,Public,Semesters,Suburban,9000,52.2305,-0.887
Yorkshire and the Humber,2012.0,117,3200,68.83700825814378,4.5,10750,11250,0.006999999999999999,0.748,"3,000-3,999",100-199,Public,Semesters,Suburban,7500,53.8483,-1.6453
South East England,2005.0,118,1578,69.31062984876527,4.5,11000,9500,0.057,0.757,"10,000-14,999",700-799,Public,Trimesters,Urban,8990,51.2795,1.0899
London,1838.0,119,801,66.9,5.5,12000,14000,0.21100000000000002,0.7509999999999999,"15,000-19,999","1,500-1,999",Public,Semesters,Urban,10229,51.517,-0.1432
East of England,1858.0,120,730,68.1,4.0,10500,10500,0.10400000000000001,0.79,"20,000-24,999",900-999,Public,Semesters,Urban,9415,52.2033,0.1345
North West England,1096.0,121,2333,68.36338666752229,4.5,10500,10500,0.015,0.738,"7,000-7,999",400-499,Public,Semesters,Urban,6000,54.8909,-2.9222
South East England,1992.0,122,761,71.1,4.5,12660,12830,0.13699999999999998,0.758,"20,000-24,999","1,500-1,999",Public,Continuous,Urban,8990,50.8598,-0.0879
Yorkshire and the Humber,1992.0,123,657,66.1,4.5,9500,11500,0.057,0.7929999999999999,"20,000-24,999","1,000-1,499",Public,Semesters,Urban,8270,53.8035,-1.548
West Midlands,1992.0,124,864,66.0,4.5,10000,10000,0.1559,0.7879999999999999,"15,000-19,999",900-999,Public,Semesters,Urban,8097,52.5876,-2.1273
North West England,2004.0,125,2100,69.78425143938676,4.5,11250,11250,0.069,0.821,"6,000-6,999",300-399,Public,Semesters,Urban,5500,53.5742,-2.4362
London,1848.0,126,1025,70.06842439375966,4.5,11400,13500,0.124,0.757,"9,000-9,999",400-499,Public,Continuous,Urban,15000,51.5526,-0.1113
London,1992.0,127,971,68.74228394001949,4.5,10700,11700,0.069,0.7609999999999999,"10,000-14,999",900-999,Public,Semesters,Suburban,10229,51.5076,0.0651
East of England,1096.0,128,1281,66.94252189565782,4.5,9750,9900,0.11699999999999999,0.774,"10,000-14,999",500-599,Public,Semesters,Urban,9415,51.8779,-0.4093
East of England,2007.0,129,4030,66.4594278732239,4.5,9495,9495,0.025,0.76,"7,000-7,999",200-299,Public,Semesters,Urban,9415,52.0523,1.1629
Wales,2008.0,130,2397,67.8897650769008,4.5,10250,10500,0.23,0.743,"5,000-5,999",200-299,Public,Semesters,Urban,7771,53.0526,-3.0062
London,1962.0,131,2759,65.99527871441484,5.5,9250,9250,0.1559,0.6609999999999999,"2,000-2,999",100-199,Public,Semesters,Urban,10229,51.5017,0.0055
